layerset,loss,optimizer,epoch,seed,layer,correct
[[108; 'relu']; [164; 'relu']; [108; 'linear']],mse,adam,13,1180693811,3,0.6785714285714286
[[108; 'relu']; [164; 'relu']; [108; 'linear']],mse,adam,20,2655226924,3,0.6607142857142857
[[108; 'relu']; [164; 'relu']; [108; 'linear']],mse,rmsprop,13,353655565,3,0.7142857142857143
[[108; 'relu']; [164; 'relu']; [108; 'linear']],mse,rmsprop,20,1027547842,3,0.6071428571428571
[[108; 'relu']; [164; 'relu']; [164; 'relu']],mse,adam,13,3972566370,3,0.6428571428571429
[[108; 'relu']; [164; 'relu']; [164; 'relu']],mse,adam,20,2135152974,3,0.7321428571428571
[[108; 'relu']; [164; 'relu']; [164; 'relu']],mse,rmsprop,13,14035036,3,0.5178571428571429
[[108; 'relu']; [164; 'relu']; [164; 'relu']],mse,rmsprop,20,1589677331,3,0.6071428571428571
[[108; 'relu']; [164; 'relu']; [164; 'linear']],mse,adam,13,1763422667,3,0.6607142857142857
[[108; 'relu']; [164; 'relu']; [164; 'linear']],mse,adam,20,1972860227,3,0.7142857142857143
[[108; 'relu']; [164; 'relu']; [164; 'linear']],mse,rmsprop,13,3281428593,3,0.6428571428571429
[[108; 'relu']; [164; 'relu']; [164; 'linear']],mse,rmsprop,20,346007988,3,0.6785714285714286
[[108; 'relu']; [164; 'relu']; [300; 'relu']],mse,adam,13,3632341405,3,0.7321428571428571
[[108; 'relu']; [164; 'relu']; [300; 'relu']],mse,adam,20,1030131046,3,0.6785714285714286
[[108; 'relu']; [164; 'relu']; [300; 'relu']],mse,rmsprop,13,884423870,3,0.6607142857142857
[[108; 'relu']; [164; 'relu']; [300; 'relu']],mse,rmsprop,20,3642975858,3,0.6964285714285714
[[108; 'relu']; [164; 'relu']; [300; 'linear']],mse,adam,13,3947268380,3,0.6785714285714286
[[108; 'relu']; [164; 'relu']; [300; 'linear']],mse,adam,20,2837476599,3,0.6964285714285714
[[108; 'relu']; [164; 'relu']; [300; 'linear']],mse,rmsprop,13,743331501,3,0.6607142857142857
[[108; 'relu']; [164; 'relu']; [300; 'linear']],mse,rmsprop,20,547880835,3,0.6607142857142857
[[108; 'relu']; [164; 'linear']; [108; 'relu']],mse,adam,13,3504490137,3,0.6428571428571429
[[108; 'relu']; [164; 'linear']; [108; 'relu']],mse,adam,20,2933244607,3,0.5892857142857143
[[108; 'relu']; [164; 'linear']; [108; 'relu']],mse,rmsprop,13,1225342024,3,0.6785714285714286
[[108; 'relu']; [164; 'linear']; [108; 'relu']],mse,rmsprop,20,1115684500,3,0.6964285714285714
[[108; 'relu']; [164; 'linear']; [108; 'linear']],mse,adam,13,222324558,3,0.6607142857142857
[[108; 'relu']; [164; 'linear']; [108; 'linear']],mse,adam,20,4008014336,3,0.6607142857142857
[[108; 'relu']; [164; 'linear']; [108; 'linear']],mse,rmsprop,13,536578115,3,0.7142857142857143
[[108; 'relu']; [164; 'linear']; [108; 'linear']],mse,rmsprop,20,2131527184,3,0.7857142857142857
[[108; 'relu']; [164; 'linear']; [164; 'relu']],mse,adam,13,4118272477,3,0.6428571428571429
[[108; 'relu']; [164; 'linear']; [164; 'relu']],mse,adam,20,2509570030,3,0.7678571428571429
[[108; 'relu']; [164; 'linear']; [164; 'relu']],mse,rmsprop,13,958274028,3,0.4642857142857143
[[108; 'relu']; [164; 'linear']; [164; 'relu']],mse,rmsprop,20,1534305619,3,0.5535714285714286
[[108; 'relu']; [164; 'linear']; [164; 'linear']],mse,adam,13,3160580260,3,0.6071428571428571
[[108; 'relu']; [164; 'linear']; [164; 'linear']],mse,adam,20,2871486309,3,0.6071428571428571
[[108; 'relu']; [164; 'linear']; [164; 'linear']],mse,rmsprop,13,3436301047,3,0.6428571428571429
[[108; 'relu']; [164; 'linear']; [164; 'linear']],mse,rmsprop,20,865794879,3,0.6785714285714286
[[108; 'relu']; [164; 'linear']; [300; 'relu']],mse,adam,13,645573022,3,0.5892857142857143
[[108; 'relu']; [164; 'linear']; [300; 'relu']],mse,adam,20,1880080156,3,0.6785714285714286
[[108; 'relu']; [164; 'linear']; [300; 'relu']],mse,rmsprop,13,620659169,3,0.6964285714285714
[[108; 'relu']; [164; 'linear']; [300; 'relu']],mse,rmsprop,20,1888196290,3,0.6785714285714286
[[108; 'relu']; [164; 'linear']; [300; 'linear']],mse,adam,13,1968110535,3,0.6964285714285714
